PCoA1	PCoA2	PCoA3	genotype	Row.names
-0.0775730814540568	0.0955817867237172	0.034587254971626	KO	KO1
0.0173470302419859	0.094985271942163	0.106097658816035	KO	KO2
-0.161524655289365	0.0325390968849937	-0.0951824822543423	KO	KO3
-0.155668126542692	0.049260195272923	0.0443366850430182	KO	KO4
-0.255910430748855	-0.0517636499260002	-0.0947110821928157	KO	KO5
-0.141188953997613	0.10406915854428	0.058766075471353	KO	KO6
0.160577632631142	0.0824687048186896	-0.0204017667580861	OE	OE1
0.129573293861024	0.00688768369432584	-0.132938045732107	OE	OE2
0.0643078102126384	-0.0421750793543874	-0.0223484590530656	OE	OE3
0.0397737639878984	-0.0287490019748301	-0.0201879105057839	OE	OE4
0.0668007288350495	0.00495418217540694	-0.0202419129697383	OE	OE5
0.136744063594874	0.0983106491646139	-0.0113499856954235	OE	OE6
0.0414021083162238	-0.10167025844979	0.0578396434189438	WT	WT1
-0.01695965953581	-0.149037069556679	0.0865107333691943	WT	WT2
0.086083634857402	-0.00895688755555537	0.00881415517539934	WT	WT3
0.0371581071848623	-0.0463354175762045	0.0637092859444953	WT	WT4
-0.0107187781047652	-0.115686885873636	0.00507055703802838	WT	WT5
0.0397755119500562	-0.02468247895403	-0.0483704040867309	WT	WT6
